# Base de solutions et couts Yamaha
# Format : conclusion|Nom|Description|Solution|Cout
#
# PANNES DE DEMARRAGE
diag_fusible_principal|Fusible principal 30/50A grille|Le fusible general qui protege le relais de demarreur et l'ecu a saute.|Localiser le relais de demarreur, retirer le fusible grille, chercher la cause d'un eventuel court-circuit, remplacer avec le fusible de rechange inclus.|25
diag_batterie_hs|Batterie completement detruite interne|La batterie est tombee sous le seuil critique ou un sel interne est oxyde definitivement.|Remplacer la batterie (preferez Yuasa ou Lithium) et faire controler la tension de charge (regulateur).|120
diag_faisceau_coupe_ou_neiman|Faisceau sectionne ou contacteur Neiman mort|Le faisceau qui chemine vers la colonne de direction est soit sectionne (CP2 maladie), soit les soudures du contacteur a cle ont fondu.|Refaire les soudures du contacteur Neiman ou reparer le cable sectionne en posant une gaine thermo.|150
diag_erreur_coupe_circuit|Coupe-circuit enclenche|Option bete mais classique : le fameux bouton rouge "Arret Moteur" est active.|Repositionnez votre bouton rouge et priez que personne ne vous a vu.|0
diag_erreur_bequille_vitesse|Securite bequille enclenchee|La moto est sur une vitesse avec la bequille deployee (Ou son capteur est encrasse de graisse).|Remettre le point mort. Si le voyant Neutre ne s'allume pas ou la bequille est nettoyee (WD40), verifier le capteur de pied.|15
diag_commodo_demarrage_encrasse|Commodo start dur ou grippe|Les contacts metalliques du bouton start ont pris l'humidite et s'usent prematurement (Maladie Yamaha).|Ouvrir la demi-cocotte droite, gratter les connecteurs cuivres oxidés, gicler du nettoyant contact WD40 special.|30
diag_relais_demarreur_hs|Relais de demarreur grille|Le solenoide recoit l'ordre mais sa bobine interne a fondue (il ne claque meme plus).|Tester le shunt du relais. Remplacer la piece generalement logee sous la selle passager.|80
diag_batterie_dechargee_ou_sulfatee|Batterie profondement dechargee|Elle a assez de jus pour l'ecran et le clac-clac du relais, mais pas les +150A pour le demarreur.|Charger sur maintien de charge (Optimate) 24h. Si incapable de tenir 12.3V apres repos = morte.|0
diag_charbons_demarreur_hs|Charbons / Demarreur encrasse|Le demarreur est use de l'interieur (poussiere de balais), il n'entraine plus le rotor qu'avec difficulte.|Deposer l'echappement/collecteur, extraire le demarreur. Ouvrir, nettoyer les cuivres et remplacer kit charbons.|250
diag_pompe_injection_hs|Pompe a essence completement HS|Aucun amorcage dans le reservoir. Le carburant ne montera jamais le long des durites.|Verifier l'arrivee de la fiche sous le reservoir (12V). Remplacer le module de pompe a essence (Moteur pompe).|450
diag_filtre_essence_colmate|Filtre d'amorcage bouche (Sachet de The)|Fond de reservoir terreux. La pompe s'amorce mais n'arrive pas a purger le carburant aux injecteurs.|Deposer la pompe et remplacer la crépine-filtre ("Sachet de thé").|60
diag_bougies_hs|Bougies usagees ou noyees|Etincelles nulles. Moteur totalement gave d'essence fraiche imbrulable.|Remplacer le train de bougies (souvent NGK CPR9 ou LMAR) et respecter la prescription de couple (13 N.m).|80
diag_bobines_allumage_hs|Bobines-Crayons fondues a l'interieur|Humidite stagnante au bord des puits (CP3 maladie) = bobines rayonnees en court-circuit HT.|Retirer la boite a air et inspecter les 3 bobines crayons, chercher trace de rouille fine et remplacer les defaillantes.|130

# PANNES COMPORTEMENT MOTEUR ROULANT
diag_tendeur_chaine_distribution|Tendeur Chaine Distri (CCT) fatigue|Le fameux tic-tic tic Yamaha, la chaine d'ACT claque aux bas regimes.|Poser un tendeur mecanique (APE Manuel) ou remplacer par CCT Yamaha ref. revisee "phase 3".|150
diag_roulement_boite_ou_embrayage|Roulement de boite use / siffleur|Roulement de pignon sorti abimé (tension de chaine trop forte = contrainte radiale destructive).|Defaire l'integralite des carters pour ecarter demi-blocs moteurs. Remplacement. Cout piece ridicule, M-O massive.|1200
diag_cloche_embrayage_marquee|Cloche et Disques embrayages cloques|Les doigts de la noix sont creuses par les passages violents. Au point mort, tout le bloc tremble et castagne sourd.|Decarte l'huile, sortir disque garnis, limer doucement la cloche (palliatif) ou acheter kit neuf embrayage et cloche|800
diag_capteur_tps_defaillant|TPS (Capteur Position Papillon) Defaillant|Sur certains modeles (ex: 5PW ou FJ), le TPS est rappele par garantie. Il coupe le moteur arbitrairement.|Diag via Menu Diag (Code 01 TPS < 15 a > 95/100 smoothly). Remplacer piece cote rampe d'injection.|220
diag_eau_dans_essence|Carburant pollue a l'eau / Condensation|Moto stockee reservoir vide cet hiver, la condensation fait ratatouiller l'injection apres un certain temps d'etouffement.|Siphonner entirement le reservoir dans bidon. Mettre de l'essence propre E5 + purificateur injecteurs Wynns.|40
diag_filtre_pompe_bouche|Filtre haute pression bouche a chaud|La pression chute lourdement lors d'appels de gaz prolonges. Limitateur de dechainement et bridage inopiné.|Ouvrir le corps de la pompe. Nettoyage U-S ou chgt du filtre. Si pas amovible = pompe complete aie.|250
diag_moteur_pas_a_pas_encrasse|Moteur ISC Pas a Pas (Ralenti) gommé|La soupape de controle d'air du ralenti (FIA block) est recouverte de suie noire visqueuse et force (calages au debrayage).|Levee du reservoir, demontage bloc ISC, ramonage avec du carb-cleaner coton-tige + reinitialisation ISC scanner.|110
